City	Library	(Collection + ) Call Number	Witness to text	Specific contents	Main language	Date AH	Date CE	Inferred date		Place	Copyist name	Data from	Ownership	Input (or confirmation) date 	
Hyderabad	Oriental Manuscripts Library and Research Center (OMLRI) 	MS 1966	Rasāʾil ikhwān al-ṣafāʾ 	Full?	Arabic							Catalogue			
Hyderabad	Oriental Manuscripts Library and Research Center (OMLRI) 	MS 2252 (likely lithograph)	Urdu translation	Full?	Urdu							Catalogue			
Hyderabad	Oriental Manuscripts Library and Research Center (OMLRI) 	MS 22975 + 22978	Risālat al-jāmiʿa	Full (two volumes)	Arabic							Catalogue			
Hyderabad	Oriental Manuscripts Library and Research Center (OMLRI) 	MS 5864 (likely lithograph)	Urdu translation	Full?	Urdu							Catalogue			
Hyderabad	Salar Jung Museum	MS 41		Full		667/1268						Ali-de-Unzaga			
Hyderabad	State Central Library (Asafiyya)	MS 347 		Persian translation				11th/17th C				Danishpazhuh ed.			
Hyderabad	State Central Library (Asafiyya)	MS 8 (falsafa)		Full		1055/1645						Ali-de-Unzaga			
India?	Dīwān-i Hind (?) 	MS 2225	Mujmal al-ḥikma		Persian	1036/1626-7						Danishpazhuh ed.			
Iran (Tehran?)		Arabic Manuscripts Institute al-Falsafa waʾl-manṭiq al-murattab al-abjādī 492 		Partial?								Non vidi			
Isfahan	K. Alfat-i Iṣfahānī	MS 45		Partial (rasāʾil 1-14)				11th/17th C		Isfahan		NLAI			
Isfahan	K. Markazī Dānishgāh-i Iṣfahān	MS 127		Partial (from risala 14 onwards)				11th/17th C				Catalogue		June 2023	
Isfahan	K. Markazī Dānishgāh-i Iṣfahān	MS 156 (= MS 398)		Single epistle or a summary of one		1288/1871						Catalogue		June 2023	
Isfahan	K. Markazī Dānishgāh-i Iṣfahān	MS 662/3		Mujmal al-ḥikmat (Persian) in majmūʿa				13th/19th C				Catalogue		May 2023	
Istanbul	Köprülü	Fazıl Ahmed Pasha 870	Rasāʾil ikhwān al-ṣafāʾ 	Full		15th C						Vidi (Scan)			
Istanbul	Köprülü	Fazıl Ahmed Pasha 871	Rasāʾil ikhwān al-ṣafāʾ 	Full		820/1417						Vidi (Scan)			
Istanbul	Köprülü	Fazıl Ahmed Pasha 981	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risala on music)		893/1488						Vidi (Scan)			
Istanbul	Köprülü	Mehmed Asım Bey 709	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risala hay'a)								Vidi (Scan)			
Istanbul	Ragıp Paşa	Ragıp Pasha 840	Rasāʾil ikhwān al-ṣafāʾ 	Full				12th/18th C?				Vidi (Scan)			
Istanbul	Topkapı Palace Library	6574 Ahmet III 3258/1 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (first vol. of (probably) two)								Catalogue	Bayezid II Seal		
