City	Library	(Collection + ) Call Number	Witness to text	Specific contents	Main language	Date AH	Date CE	Inferred date		Place	Copyist name	Data from	Ownership	Input (or confirmation) date 	
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 3708/2		Extract in majmūʿa		1009/1600				Jabal Kara (Hijaz)		Catalogue		June 2023	
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 43/643 F 		Extract in majmūʿa								NLAI			
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 6360/2		Extract in Persian in majmu'a		992/1584					Bahāʾ al-Dīn Sharīf Āmilī 	Aghabozorg.ir	Donated to Shāh 'Abbas when stil prince		
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 7485 		Partial (qism 2)		1129/1717						Catalogue		June 2023	
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 7581 		Extract in majmu'a								aghabozorg.ir			
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 7624/8 		Excerpts from Mujmal al-ḥikmat 		1245/1829-30					Muḥammad Walī b. Ḥusayn Ḥājīlrī Astarābādī 	Catalogue 		May 2023	
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 8340		Mujmal al-ḥikmat 		1073/1662				Mashhad	ʿAbdallāh b. Muḥammad Taqī 	Catalogue		May 2023	
Tehran	K. Miftāḥ	MS 1354	Mujmal al-ḥikmat	Full?								Danishpazhuh ed.			
Tehran	K. Miftāḥ	MS 463	Mujmal al-ḥikmat	Full?				11th/17th C				Catalogue		May 2023	
Tehran	K. Sulṭanatī	MS 189/2		Mujmal al-ḥikmat (Persian) partial				before 1055				Catalogue		May 2023	
Tehran	Lughat Nāme Dehkhodā	MS 166 	Risālat al-Jāmiʿa	Full copy?		678? (or 10th-11th C)				Konya?		Catalogue		June 2023	
Tehran	Lughat Nāme Dehkhodā	MS 214/2 (or 21?) 		Mujmal al-ḥikmat (Persian)				late 12th/18th C			Luṭf ʿAlī b. ʿAbdallāh b. Luṭf ʿAlī Sāwjī	Catalogue		May 2023	
Tehran	Mahdawi	MS 271/1		Mujmal al-ḥikmat in majmu'a		1273/1856						Catalogue			
Tehran	Mahdawi	MS 417		Partial (most of qism 1)				10th or 11th C							
Tehran	Mahdawi	MS 7437		Full?		640/1242				Shahrabad? 		Non vidi (Institute of Ismaili Studies)			
Tehran	Mahdawi	MS 851		Partial (first qism)				11th/17th C				Catalogue			
Tehran	Majlis-i Shūrā Library	MS 10190/9		Extract in majmuʾa 		1019/1610-11						Catalogue			
Tehran	Majlis-i Shūrā Library	MS 112	Mujmal al-ḥikma	Mujmal al-ḥikmat (Persian), incomplete		667/1268-9				Hari, near Rudbar		Catalogue		May 2023	
Tehran	Majlis-i Shūrā Library	MS 11292/13		Mujmal al-hikmat (Persian)		1082-3/1671-3						Catalogue			
Tehran	Majlis-i Shūrā Library	MS 12574/3 		Mujmal al-hikmat partial (3 epistles) in majmu'a								Catalogue			
Tehran	Majlis-i Shūrā Library	MS 1278 Ṭ		Full		1208/1793-4					Mīrzā Ḥusayn b. Aḥmad Kurjī	Catalogue			
Tehran	Majlis-i Shūrā Library	MS 15232/25		Muntakhab rasāʾil Ikhwān al-ṣafāʾ by Muẓaffar Ḥusayn b. Muḥammad Amīn Kāshānī		1035/1626				Isfahan		NLAI			
Tehran	Majlis-i Shūrā Library	MS 1555		Full		968/1561						Ali-de-Unzaga			
Tehran	Majlis-i Shūrā Library	MS 2097	Mujmal al-ḥikma	Mujmal al-ḥikmat (Persian)		1062/1652					ʿAlī Khān b. ʿAlī Bayk	Catalogue			
Tehran	Majlis-i Shūrā Library	MS 2098	Mujmal al-ḥikma	Mujmal al-ḥikmat (Persian)		1112/1701						Catalogue			
Tehran	Majlis-i Shūrā Library	MS 2361 Sh		Extracts in majmūʿa (2 aqsam?)		1302/1884-5						Aghabozorg.ir			
Tehran	Majlis-i Shūrā Library	MS 278/41s		Extract in majmuʾa (Persian)				11th/17th C				Vidi (scan)			
Tehran	Majlis-i Shūrā Library	MS 3251	Mujmal al-ḥikma	Mujmal al-ḥikmat (Persian)		1244/1824						Catalogue			
Tehran	Majlis-i Shūrā Library	MS 4708		Full copy		686/1287				Baghdad	Khalīl b. Yūsuf b. Salār b. ʿAlī	Vidi (MALECSO scan)			
Tehran	Majlis-i Shūrā Library	MS 4868/19-20	Mujmal al-ḥikma	Extracts in majmūʿa				13th/19th C				Danishpazhuh ed			
Tehran	Majlis-i Shūrā Library	MS 5255		Partial (10 rasail, start 2.11 end 4.5)		607/1210						Aghabozorg.ir			
Tehran	Majlis-i Shūrā Library	MS 6523/3		Extracts in majmūʿa (Persian)								Catalogue		June 2023	
Tehran	Majlis-i Shūrā Library	MS 6895/1		Mujmal al-hikmat (Persian)				12th/18th C				Catalogue			
Tehran	Majlis-i Shūrā Library	MS 9040		Mujmal al-hikmat (Persian)				11th/17th C				Catalogue			
Tehran	Majlis-i Shūrā Library 	MS 1358/1		Single risala, but potentially not from Rasa'il								Catalogue			
Tehran	Majmuʿa-yi Ḥusayn Miftāḥ	MS 477 		One epistle in majmu'a				13th/19th C				Aghabozorg.ir			
Tehran	Malik Library  	MS  1485		Full?		1073/1662-3						Vidi (partial scan)			
Tehran	Malik Library  	MS  2295		Mujmal al-hikmat (Persian)				11th/17th C				Vidi (partial scan)			
Tehran	Malik Library  	MS  3454/2		Extract in majmuʾa (Persian)		1085/1674-5						Catalogue			
Tehran	Malik Library  	MS  4027/17		Extracts in majmuʾa (Persian)				12th/18th C				Catalogue			
Tehran	Malik Library  	MS  4193/7		Extract in majmuʾa (Persian)		1276/1859						Vidi (partial scan)			
Tehran	Malik Library  	MS  4253/7		Extract in majmuʾa (Persian)		1059/1649					Muḥammad Kāẓim Iṣfahānī 	Catalogue			
Tehran	Malik Library  	MS  4453/12		Partial Persian translation (qism 1 & 2) in majmu'a		1224/1809				Tehran		NLAI			
Tehran	Malik Library  	MS  5439	Risālat al-Jāmiʿa	Full copy?		596/1200						Vidi (partial scan)			
Tehran	Malik Library  	MS 1056/1		Mujmal al-hikmat (Persian)		667/1268						Catalogue			
Tehran	Malik Library  	MS 1197		Mujmal al-hikmat (Persian)				11th/17th C				Catalogue			
Tehran	Malik Library  	MS 1280	Risālat al-Jāmiʿa	Full copy?				9th/15th C				NLAI			
Tehran	Malik Library  	MS 1477													
Tehran	Malik Library  	MS 457		Mujmal al-hikmat (Persian)				10th/16th C				Website			
Tehran	Malik Library  	MS 822/1		Mujmal al-hikmat (Persian)				before 719				Catalogue			
Tehran	Marawi Madrasa Library	MS 406		Full?				11th/17th C				Catalogue		June 2023	
Tehran	Mu’assasat-i Matali’a-yi Islami	MS 132	Mujmal al-ḥikmat	Full? 		1071/1661						Catalogue		June 2023	
Tehran	Mujtabā Maynawī  	MS 151		Partial copy (1.2-4.9)				9th-10th/15th-16th C				Catalogue		June 2023	
Tehran	National Library	MS 1226		Full copy?		1278/1861-2				Isfahan		Catalogue	Copied for ʿAbbāsqulīkhān Nūrī		
Tehran	National Library	MS 18255		Mujmal al-ḥikma		1079/1668-9						Catalogue			
Tehran	National Library	MS 2122 (or 392)		Mujmal al-ḥikmat (Persian)		1072/1662						Catalogue			
Tehran	National Library	MS 783-784		Full (two vols.)				12th/18th C? 				Catalogue			
Tehran	National Library 	MS 550 		Partial (qism 1)				13th/19th C				Catalogue			
Tehran	Nūrbakhsh Library	MS 209/1 		Partial Persian translation in majmūʿa		1071/1660-1						Catalogue		June 2023	
Tehran	Sepahsalar Madrasa	MS 2789 		Mujmal al-ḥikmat (Persian)		1049/1639					Faraj Allāh b. Muḥammad Aḥwīzāwī (or ḥawīzī, or ḥuwayzī)	Catalogue		June 2023	
Tehran	Sepahsalar Madrasa	MS 2790/1		Persian translation (multiple hands)		1047/1638					Mullah Burhan bin Mullah Mohammad Khan Rashti; Taj al-Din Hassan Hosseini; Hakim Hussein bin Hakim Noureddin bin Hakim Ali Nourbakhshi Maliki Gilani Dailami 	Catalogue		June 2023	
Tehran	Sepahsalar Madrasa	MS 5791/2		Mujmal al-ḥikmat (Persian)				11th/17th C				Catalogue			
Tehran	Sepahsalar Madrasa	MS 6555/1 		Persian translation							Hāshim b. Ḥusayn ʿ Amīd	Catalogue		June 2023	
Tehran	Tehran University Ilahiyāt 108	MS 108 (J)		Mujmal al-ḥikmat (Persian) partial				11th or 12th C				Catalogue		May 2023	
Tehran	Tehran University Ilahiyāt 109	MS 109 (J)		Mujmal al-ḥikmat (Persian) partial				11th or 12th C				Catalogue		May 2023	
Tehran 	Dā’irat al-maʿārif-i buzurg-i islāmī 	MS 1847 ʿaksī		Mujmal al-hikmat (Persian) (microfilm?)				10th-11th/16th-17th C				Catalogue			
Tehran 	Dānishgāh-i Adabiyyat Library	MS 29/90 D 		Extract in majmūʿa		700/1300-1						Catalogue		June 2023	
Tehran 	K. Markazī Dānishgāh-i Tehrān	MS 5595		Persian translation of one risala		1277/1860					Translator: Mīrzā Aḥmad Waqār  	Aghabozorg.ir	Donated to Nāṣir al-Dīn Shāh		
Tehran 	K. Markazī Dānishgāh-i Tehrān	MS 5638/1		Mujmal al-ḥikmat 		1260/1844						Catalogue		May 2023	
Tehran 	Majlis-i Shūrā Library	MS 104 (5412)		Persian translation		907/1501						Vidi (scan) + Catalogue		June 2023	
Tehran 	Majlis-i Shūrā Library	MS 166		Mujmal al-hikmat (Persian)				11th/17th C				Vidi (scan)			
Tehran 	Majlis-i Shūrā Library	MS 1829	Risālat al-Jāmiʿa	Full copy?				12th/18th C				NLAI			
Tehran 	Majlis-i Shūrā Library	MS 1831		Partial (4.1-4.5)		621/1224-5					Mubārak Pesar ʿAbdallāh ghulām Najīb al-Dīn Mazīdī 	Catalogue		June 2023	
Tehran 	Majlis-i Shūrā Library	MS 5224		Mujmal al-ḥikmat (Persian)		1072/1662				Mashhad	Muḥammad Taqī	Catalogue			
Tehran 	National Library	MS 15839		Mujmal al-ḥikma				12th/18th C				Catalogue			
Tehran 	National Library	MS 8645	Risālat al-Jāmiʿa	Full copy?		1063/1653						NLAI			
Tehran 		Anjumān-e āthār ve-mafākhir-i farhangī 100		Mujmal al-ḥikmat (Persian)								Catalogue		May 2023	
Tehran?	?	? 13677		Extracts in majmūʿa 				11th/17th C				Aghabozorg.ir			
Tehran?	?	? 15276		Extracts in majmūʿa 		1111/1699					Ḍiyāʾ al-Dīn D-rī	Aghabozorg.ir			
Tonk	Rajasthan Arabic and Persian Research Institute	MS 1844		"Risala Ikhwan us-Safa" attrubuted to Ahmad b. Muhammad								Catalogue			
Toronto 	Birnbaum	58 / A2 		Partial				ca. early 18th C				Catalogue			
Tübingen	Universitätsbibliothek	Ma VI 86	Risālat al-Jāmiʿa	Full copy		611/1215						Vidi (Scan)			
Tübingen	Universitätsbibliothek	Ma VI 90	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (Section on “awliyāʾ Allāh”)				9th/15th C				Vidi (Scan)			
Turin	University Library	Kahle 179 (No. 220/II (o.i. no. 353/II)		Turkish translation of qism 3 in majmu'a				late 13th/19th C				Catalogue			
Unknown	Christies 	2001 Live Auction 6428 - Lot 56	Rasāʾil ikhwān al-ṣafāʾ 	Partial				ca. 17th C		Iran? 		Website			
Unknown	Piasa	Rares manuscrits orientaux chrétiens et islamiques - Lot H	Rasāʾil ikhwān al-ṣafāʾ 	Partial? Only 186 folios	Arabic			7th/13th C		Syria?		Schoenberg database		February 2024	https://sdbm.library.upenn.edu/entries/31204
Unknown	Sotheby's	Arts of the Islamic World 2008 - Lot 28		Fragment? (40 leaves) - mukhtasar? 		711/1311					Muhammad ibn Ahmad al-Isfara'ini	Website		February 2024	https://www.sothebys.com/en/auctions/ecatalogue/2008/arts-of-the-islamic-world-l08220/lot.28.html?locale=en
Unknown	Sotheby's	Arts of the Islamic World 2010 - Lot 39	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa	Arabic			10th/16th C				Schoenberg database		February 2024	https://sdbm.library.upenn.edu/entries/185035
Unknown	Sotheby's	Arts of the Islamic World 2016 - Lot 35	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 1)				ca. 14th C				Website			
Unknown	Sotheby's	Arts of the Islamic World 2017 - Lot 27	Rasāʾil ikhwān al-ṣafāʾ 	Partial (half of qism 3 + qism 4)		683/1284				Anatolia?	Muḥammad b. ʿUmar b. Muḥammad al-Khāzin al-Tustari	Website			
Unknown	Sotheby's	Arts of the Islamic World 2018 - Lot 38	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 1)				17th/18th C		India?	Yadullah-bakhsh (?) ibn Mulla 'Abd al-Qadir	Website			
Unknown	Sotheby's	Arts of the Islamic World 2023 - Lot 22	Rasāʾil ikhwān al-ṣafāʾ 	Full copy	Arabic	1042/1633				Mashhad?	Muḥammad Bāqir b. Ḥajjī Muḥammad al-Ḥāfiẓ	Website	Copied for Abū al-Fatḥ Manuchihr Khān (d. 1636)	October 2023	
Uppsala	Uppsala University Library	300 / O Nov. 526 / Zn. 389		Mujmal al-ḥikmat (Persian), partial copy		11th/17th C						Catalogue		June 2023	
Vatican	Vatican Library	Majmūʿa 1608		Extract in majmūʿa		1030/1621						Catalogue			
Vatican	Vatican Library	Majmūʿa 265		Extract in majmūʿa		1175-6/1762						Catalogue			
Vienna	?	Vienna_1491		?								ISMI Website			
Vienna	ÖNB	Cod. A.F. 441	Mujmal al-ḥikmat	Full copy		1202/1787-8						Catalogue (HMML)			
Vienna	ÖNB	Cod. Mixt. 341 		Full?				10th/16th C		Turkey?		Catalogue			
Vienna	ÖNB	Cod. N.F. 371		Extract(s) in majmu'a (Persian)		949/1542				Mecca	حافظ على بن محمد ابراهيم فندرسكى من بلاد خراسان	Catalogue (HMML)			
