City	Library	(Collection + ) Call Number	Witness to text	Specific contents	Main language	Date AH	Date CE	Inferred date		Place	Copyist name	Ownership	Catalogue reference	Digital resource	Alternative data source	Scan available
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Ḥikmat Taymūr 143	Rasāʾil ikhwān al-ṣafāʾ 	Fulll? 										http://alnadeem-mss.malecso.org/cgi-bin/koha/opac-detail.pl?biblionumber=111957&query_desc=kw%2Cwrdl%3A%20%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D8%B5%D9%81%D8%A7		
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Khidiwiyya 9509	Rasāʾil ikhwān al-ṣafāʾ 	Full?		1279	1862						Khidiwiyya catalogue (vol. 6, p. 94)			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Khidiwiyya 9510	Rasāʾil ikhwān al-ṣafāʾ 	Fragment of risāla 14									Khidiwiyya catalogue (vol. 6, p. 94)			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Khidiwiyya 9875	Rasāʾil ikhwān al-ṣafāʾ 	Partial (27 rasāʾil)									Khidiwiyya catalogue (vol. 6, p. 94)			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Majāmīʿ Taymūr 14/2	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risala on music)										https://www.saramusik.org/67/texte/		
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Majāmīʿ Taymūr 331	Rasāʾil ikhwān al-ṣafāʾ wa-hidāyā akhdān al-wafāʾ	A text written by Shihāb al-Dīn al-Khafājī (d. 1069/1659)											Database	
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Mīqāt 122	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risāla 1)				12th/18th C					King, A survey of Scientific manuscripts			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Musṭafā Fāḍil mīqāt 166	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risāla 3)				12th/18th C					King, A survey of Scientific manuscripts			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Riyāḍa 301	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (rasāʾil 1 & 4)									King, A survey of Scientific manuscripts			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Ṭalʿat ḥikma 383	Rasāʾil ikhwān al-ṣafāʾ 	Full?				7th/13th C					King, A survey of Scientific manuscripts			
Calcutta	Asiatic Society	O 2 		Partial (from eleventh risala?)										https://indianculture.gov.in/flipbook/83715		
Calcutta	Asiatic Society	Ob 12	Mujmal al-ḥikma	First qism only	Persian			12th/18th C						https://archive.org/details/in.gov.ignca.20616/page/653/mode/2up		
Calcutta	Asiatic Society	Q 48		Extract in majmūʿa										https://indianculture.gov.in/flipbook/83715		
Calcutta	Buhar Library	337	Rasāʾil ikhwān al-ṣafāʾ 	Full				9th/15th C					Calcutta Buhar lib. cat. vol. ii no. 337 - (cat. 99. 363)			
